NAME,total_units_2000,state_fips,county_fips
"Autauga County, Alabama",17662,01,001
"Baldwin County, Alabama",74285,01,003
"Barbour County, Alabama",12461,01,005
"Bibb County, Alabama",8345,01,007
"Blount County, Alabama",21158,01,009
"Bullock County, Alabama",4727,01,011
"Butler County, Alabama",9957,01,013
"Calhoun County, Alabama",51322,01,015
"Chambers County, Alabama",16256,01,017
"Cherokee County, Alabama",14025,01,019
"Chilton County, Alabama",17651,01,021
"Choctaw County, Alabama",7839,01,023
"Clarke County, Alabama",12631,01,025
"Clay County, Alabama",6612,01,027
"Cleburne County, Alabama",6189,01,029
"Coffee County, Alabama",19837,01,031
"Colbert County, Alabama",24980,01,033
"Conecuh County, Alabama",7265,01,035
"Coosa County, Alabama",6142,01,037
"Covington County, Alabama",18578,01,039
"Crenshaw County, Alabama",6644,01,041
"Cullman County, Alabama",35233,01,043
"Dale County, Alabama",21779,01,045
"Dallas County, Alabama",20450,01,047
"DeKalb County, Alabama",28051,01,049
"Elmore County, Alabama",25733,01,051
"Escambia County, Alabama",16544,01,053
"Etowah County, Alabama",45959,01,055
"Fayette County, Alabama",8472,01,057
"Franklin County, Alabama",13749,01,059
"Geneva County, Alabama",12115,01,061
"Greene County, Alabama",5117,01,063
"Hale County, Alabama",7756,01,065
"Henry County, Alabama",8037,01,067
"Houston County, Alabama",39571,01,069
"Jackson County, Alabama",24168,01,071
"Jefferson County, Alabama",288162,01,073
"Lamar County, Alabama",7517,01,075
"Lauderdale County, Alabama",40424,01,077
"Lawrence County, Alabama",15009,01,079
"Lee County, Alabama",50329,01,081
"Limestone County, Alabama",26897,01,083
"Lowndes County, Alabama",5801,01,085
"Macon County, Alabama",10627,01,087
"Madison County, Alabama",120288,01,089
"Marengo County, Alabama",10127,01,091
"Marion County, Alabama",14416,01,093
"Marshall County, Alabama",36331,01,095
"Mobile County, Alabama",165101,01,097
"Monroe County, Alabama",11343,01,099
"Montgomery County, Alabama",95437,01,101
"Morgan County, Alabama",47388,01,103
"Perry County, Alabama",5406,01,105
"Pickens County, Alabama",9520,01,107
"Pike County, Alabama",13981,01,109
"Randolph County, Alabama",10285,01,111
"Russell County, Alabama",22831,01,113
"St. Clair County, Alabama",27303,01,115
"Shelby County, Alabama",59302,01,117
"Sumter County, Alabama",6953,01,119
"Talladega County, Alabama",34469,01,121
"Tallapoosa County, Alabama",20510,01,123
"Tuscaloosa County, Alabama",71429,01,125
"Walker County, Alabama",32417,01,127
"Washington County, Alabama",8123,01,129
"Wilcox County, Alabama",6183,01,131
"Winston County, Alabama",12502,01,133
"Aleutians East Borough, Alaska",724,02,013
"Aleutians West Census Area, Alaska",2234,02,016
"Anchorage Municipality, Alaska",100368,02,020
"Bethel Census Area, Alaska",5188,02,050
"Bristol Bay Borough, Alaska",979,02,060
"Denali Borough, Alaska",1351,02,068
"Dillingham Census Area, Alaska",2332,02,070
"Fairbanks North Star Borough, Alaska",33291,02,090
"Haines Borough, Alaska",1419,02,100
"Juneau City and Borough, Alaska",12282,02,110
"Kenai Peninsula Borough, Alaska",24871,02,122
"Ketchikan Gateway Borough, Alaska",6218,02,130
"Kodiak Island Borough, Alaska",5159,02,150
"Lake and Peninsula Borough, Alaska",1557,02,164
"Matanuska-Susitna Borough, Alaska",27329,02,170
"Nome Census Area, Alaska",3649,02,180
"North Slope Borough, Alaska",2538,02,185
"Northwest Arctic Borough, Alaska",2540,02,188
"Prince of Wales-Outer Ketchikan Census Area, Alaska",3055,02,201
"Sitka City and Borough, Alaska",3650,02,220
"Skagway-Hoonah-Angoon Census Area, Alaska",2108,02,232
"Southeast Fairbanks Census Area, Alaska",3225,02,240
"Valdez-Cordova Census Area, Alaska",5148,02,261
"Wade Hampton Census Area, Alaska",2063,02,270
"Wrangell-Petersburg Census Area, Alaska",3284,02,280
"Yakutat City and Borough, Alaska",499,02,282
"Yukon-Koyukuk Census Area, Alaska",3917,02,290
"Apache County, Arizona",31621,04,001
"Cochise County, Arizona",51126,04,003
"Coconino County, Arizona",53443,04,005
"Gila County, Arizona",28189,04,007
"Graham County, Arizona",11430,04,009
"Greenlee County, Arizona",3744,04,011
"La Paz County, Arizona",15133,04,012
"Maricopa County, Arizona",1250231,04,013
"Mohave County, Arizona",80062,04,015
"Navajo County, Arizona",47413,04,017
"Pima County, Arizona",366737,04,019
"Pinal County, Arizona",81154,04,021
"Santa Cruz County, Arizona",13036,04,023
"Yavapai County, Arizona",81730,04,025
"Yuma County, Arizona",74140,04,027
"Arkansas County, Arkansas",9672,05,001
"Ashley County, Arkansas",10615,05,003
"Baxter County, Arkansas",19891,05,005
"Benton County, Arkansas",64281,05,007
"Boone County, Arkansas",15426,05,009
"Bradley County, Arkansas",5930,05,011
"Calhoun County, Arkansas",3012,05,013
"Carroll County, Arkansas",11828,05,015
"Chicot County, Arkansas",5974,05,017
"Clark County, Arkansas",10166,05,019
"Clay County, Arkansas",8498,05,021
"Cleburne County, Arkansas",13732,05,023
"Cleveland County, Arkansas",3834,05,025
"Columbia County, Arkansas",11566,05,027
"Conway County, Arkansas",9028,05,029
"Craighead County, Arkansas",35133,05,031
"Crawford County, Arkansas",21315,05,033
"Crittenden County, Arkansas",20507,05,035
"Cross County, Arkansas",8030,05,037
"Dallas County, Arkansas",4401,05,039
"Desha County, Arkansas",6663,05,041
"Drew County, Arkansas",8287,05,043
"Faulkner County, Arkansas",34546,05,045
"Franklin County, Arkansas",7673,05,047
"Fulton County, Arkansas",5973,05,049
"Garland County, Arkansas",44953,05,051
"Grant County, Arkansas",6960,05,053
"Greene County, Arkansas",16161,05,055
"Hempstead County, Arkansas",10166,05,057
"Hot Spring County, Arkansas",13384,05,059
"Howard County, Arkansas",6297,05,061
"Independence County, Arkansas",14841,05,063
"Izard County, Arkansas",6591,05,065
"Jackson County, Arkansas",7956,05,067
"Jefferson County, Arkansas",34350,05,069
"Johnson County, Arkansas",9926,05,071
"Lafayette County, Arkansas",4560,05,073
"Lawrence County, Arkansas",8085,05,075
"Lee County, Arkansas",4768,05,077
"Lincoln County, Arkansas",4955,05,079
"Little River County, Arkansas",6435,05,081
"Logan County, Arkansas",9942,05,083
"Lonoke County, Arkansas",20749,05,085
"Madison County, Arkansas",6537,05,087
"Marion County, Arkansas",8235,05,089
"Miller County, Arkansas",17727,05,091
"Mississippi County, Arkansas",22310,05,093
"Monroe County, Arkansas",5067,05,095
"Montgomery County, Arkansas",5048,05,097
"Nevada County, Arkansas",4751,05,099
"Newton County, Arkansas",4316,05,101
"Ouachita County, Arkansas",13450,05,103
"Perry County, Arkansas",4702,05,105
"Phillips County, Arkansas",10859,05,107
"Pike County, Arkansas",5536,05,109
"Poinsett County, Arkansas",11051,05,111
"Polk County, Arkansas",9236,05,113
"Pope County, Arkansas",22851,05,115
"Prairie County, Arkansas",4790,05,117
"Pulaski County, Arkansas",161135,05,119
"Randolph County, Arkansas",8268,05,121
"St. Francis County, Arkansas",11242,05,123
"Saline County, Arkansas",33825,05,125
"Scott County, Arkansas",4924,05,127
"Searcy County, Arkansas",4292,05,129
"Sebastian County, Arkansas",49311,05,131
"Sevier County, Arkansas",6434,05,133
"Sharp County, Arkansas",9342,05,135
"Stone County, Arkansas",5715,05,137
"Union County, Arkansas",20676,05,139
"Van Buren County, Arkansas",9164,05,141
"Washington County, Arkansas",64330,05,143
"White County, Arkansas",27613,05,145
"Woodruff County, Arkansas",4089,05,147
"Yell County, Arkansas",9157,05,149
"Alameda County, California",540183,06,001
"Alpine County, California",1514,06,003
"Amador County, California",15035,06,005
"Butte County, California",85523,06,007
"Calaveras County, California",22946,06,009
"Colusa County, California",6774,06,011
"Contra Costa County, California",354577,06,013
"Del Norte County, California",10434,06,015
"El Dorado County, California",71278,06,017
"Fresno County, California",270767,06,019
"Glenn County, California",9982,06,021
"Humboldt County, California",55912,06,023
"Imperial County, California",43891,06,025
"Inyo County, California",9042,06,027
"Kern County, California",231564,06,029
"Kings County, California",36563,06,031
"Lake County, California",32528,06,033
"Lassen County, California",12000,06,035
"Los Angeles County, California",3270909,06,037
"Madera County, California",40387,06,039
"Marin County, California",104990,06,041
"Mariposa County, California",8826,06,043
"Mendocino County, California",36937,06,045
"Merced County, California",68373,06,047
"Modoc County, California",4807,06,049
"Mono County, California",11757,06,051
